id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
36210210,e7b64551-fd40-471b-a680-83ad512c2e60,Thu Nov 28 2019 15:00:29 GMT-0600 (CST),2019-11-28,2019-11-28 21:00:29 UTC,Guadalajara,1050458,jessgomez,Jessica Nayeli Gómez,2019-11-30 05:36:17 UTC,2023-04-10 16:24:15 UTC,research,,https://www.inaturalist.org/observations/36210210,https://static.inaturalist.org/photos/57211280/medium.jpg,,"",,1,0,false,3,"Cuautla, JAL, MX",20.2170292855,-104.4195460657,5257,,,,5257,,open,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
36210250,9ecf687a-a248-4378-9532-a895ea03ca0d,Thu Nov 28 2019 15:01:05 GMT-0600 (CST),2019-11-28,2019-11-28 21:01:05 UTC,Guadalajara,1050458,jessgomez,Jessica Nayeli Gómez,2019-11-30 05:38:15 UTC,2023-04-10 16:23:39 UTC,research,,https://www.inaturalist.org/observations/36210250,https://static.inaturalist.org/photos/57211333/medium.jpg,,"",,2,1,false,3,"Cuautla, JAL, MX",20.25455,-104.51622,,,,,,,open,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
37356565,4aca001a-b384-495f-95bc-463dd125fb39,2017/11/12 11:53 AM CST,2017-11-12,2017-11-12 17:53:00 UTC,Guadalajara,17894,ana_santiago,Ana Santiago,2020-01-07 01:38:49 UTC,2020-05-31 02:30:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37356565,https://inaturalist-open-data.s3.amazonaws.com/photos/59206228/medium.jpeg,,"",,2,0,false,,"Tecolotlán, Jal., México",20.2975707035,-104.0392974456,9,,,,9,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
37803924,af7595e0-03b5-4191-b8b3-8a9c44d48a1f,Sat Jan 18 2020 16:30:09 GMT-0600 (CST),2020-01-18,2020-01-19 02:30:09 UTC,Hawaii,1411422,santiago_rosales_9,Santiago Rosales,2020-01-21 03:22:05 UTC,2020-06-10 21:16:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37803924,https://inaturalist-open-data.s3.amazonaws.com/photos/60004492/medium.jpg,,"",,2,0,false,3,"Tapalpa, JAL, MX",20.001280555,-103.7426,,,,,,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
38377176,7cb1f89d-6b32-4f13-bff8-be1530287aa8,Sat Nov 02 2019 10:15:36 GMT-0600 (CST),2019-11-02,2019-11-02 10:15:36 UTC,UTC,1262628,brian445,Brian Salvador Orozco Dueñas,2020-02-07 02:53:37 UTC,2020-05-31 18:56:49 UTC,research,,https://www.inaturalist.org/observations/38377176,https://static.inaturalist.org/photos/60985474/medium.jpg,,"",,1,0,false,3,"Mascota, JAL, MX",20.597945,-104.64453,,,,,,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
38772297,538988f1-81a8-474b-8f17-965b1bd6c6ea,2016/03/30 11:21 AM CDT,2016-03-30,2016-03-30 16:21:00 UTC,Central Time (US & Canada),78552,carlospalomera,Carlos Palomera,2020-02-17 22:43:39 UTC,2024-07-05 15:55:34 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/38772297,https://inaturalist-open-data.s3.amazonaws.com/photos/61674112/medium.jpg,,"",,2,0,false,,"Mezquitic, Jal., México",22.3790280841,-103.7357359513,977,,,,977,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
39063643,30c66e58-ab05-47c4-8719-05369c1725ae,2020/02/15 5:24 PM HST,2020-02-15,2020-02-16 03:24:00 UTC,Hawaii,363322,alfredo914,Alfredo Diaz Torres,2020-02-22 22:58:30 UTC,2020-03-30 15:18:22 UTC,research,,https://www.inaturalist.org/observations/39063643,https://static.inaturalist.org/photos/61982850/medium.jpeg,,"",,1,0,false,,"Tolimán, Jal., México",19.54070479,-103.977501347,488,,,,488,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
47081298,86f8950b-71d3-4f18-b678-88a4d8289413,2008/10/25 3:48 PM CDT,2008-10-25,2008-10-25 20:48:00 UTC,Mexico City,22707,coatzin_tutor,M. Domínguez-Laso,2020-05-24 07:29:01 UTC,2020-05-29 04:59:08 UTC,research,,https://www.inaturalist.org/observations/47081298,https://static.inaturalist.org/photos/74668123/medium.jpeg,,"",,2,0,false,,"Sierra de Quila, Jalisco, México",20.2988889,-104.0183333,2034,,,,2034,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
48408585,3452fa53-05e3-4999-820e-d7e7348e2d21,2020/06/02 9:09 AM CDT,2020-06-02,2020-06-02 14:09:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-06-04 03:56:43 UTC,2022-07-16 14:06:17 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/48408585,https://inaturalist-open-data.s3.amazonaws.com/photos/76806608/medium.jpeg,,"","",3,1,false,,"Zapopan, Jal., México",20.6617511073,-103.458963098,8,,,,8,,open,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
49905306,5905ffb7-3e42-43cd-b6a0-8cf131b53515,2020/06/14 10:36 AM CDT,2020-06-14,2020-06-14 15:36:00 UTC,Guadalajara,5784,julio,Julio Alejandro Álvarez Ruiz,2020-06-17 01:46:36 UTC,2024-10-10 20:42:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/49905306,https://static.inaturalist.org/photos/79233082/medium.jpeg,,"",,2,0,false,,"Etzatlán, Jal., México",20.7292139822,-104.03142534,8,,,,8,,open,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
50950740,a89d591f-eb92-4552-8512-de677f16ce58,2020/06/20 4:03 PM HST,2020-06-20,2020-06-21 02:03:00 UTC,Hawaii,1914366,siharacg,"",2020-06-26 02:19:34 UTC,2022-09-15 23:10:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/50950740,https://inaturalist-open-data.s3.amazonaws.com/photos/81085556/medium.jpeg,,"","En bosque de pino encino, con Pinnus lumholtzii y Agave maximiliana",3,0,false,,"Chiquilistlán, Jal., México",20.1386444444,-103.8518666667,,,,,,,,false,,,Tigridia dugesii,Tigridia dugesii,,Plantae,316707
